Code,State,Year,Num
MT,Montana,2019,2
MT,Montana,2020,0
MT,Montana,2021,0
MT,Montana,2022,0
NE,Nebraska,2014,0
NE,Nebraska,2015,3
NE,Nebraska,2016,0
NE,Nebraska,2017,0
NE,Nebraska,2018,3
NE,Nebraska,2019,1
NE,Nebraska,2020,2
NE,Nebraska,2021,1
NE,Nebraska,2022,5
NV,Nevada,2014,4
NV,Nevada,2015,1
NV,Nevada,2016,3
NV,Nevada,2017,2
NV,Nevada,2018,4
NV,Nevada,2019,3
NV,Nevada,2020,4
NV,Nevada,2021,5
NV,Nevada,2022,5
NH,New Hampshire,2014,0
NH,New Hampshire,2015,0
NH,New Hampshire,2016,0
NH,New Hampshire,2017,0
NH,New Hampshire,2018,0
NH,New Hampshire,2019,0
NH,New Hampshire,2020,0
NH,New Hampshire,2021,1
NH,New Hampshire,2022,0
NJ,New Jersey,2014,6
NJ,New Jersey,2015,9
NJ,New Jersey,2016,9
NJ,New Jersey,2017,13
NJ,New Jersey,2018,10
NJ,New Jersey,2019,11
NJ,New Jersey,2020,12
NJ,New Jersey,2021,14
NJ,New Jersey,2022,9
NM,New Mexico,2014,1
NM,New Mexico,2015,2
NM,New Mexico,2016,4
NM,New Mexico,2017,2
NM,New Mexico,2018,2
NM,New Mexico,2019,4
NM,New Mexico,2020,2
NM,New Mexico,2021,1
NM,New Mexico,2022,4
NY,New York,2014,14
NY,New York,2015,21
NY,New York,2016,15
NY,New York,2017,13
NY,New York,2018,13
NY,New York,2019,9
NY,New York,2020,38
NY,New York,2021,36
NY,New York,2022,31
NC,North Carolina,2014,3
NC,North Carolina,2015,12
NC,North Carolina,2016,9
NC,North Carolina,2017,7
NC,North Carolina,2018,10
NC,North Carolina,2019,11
NC,North Carolina,2020,20
NC,North Carolina,2021,22
NC,North Carolina,2022,21
OH,Ohio,2014,7
OH,Ohio,2015,13
OH,Ohio,2016,11
OH,Ohio,2017,21
OH,Ohio,2018,10
OH,Ohio,2019,14
OH,Ohio,2020,25
OH,Ohio,2021,32
OH,Ohio,2022,19
OK,Oklahoma,2014,2
OK,Oklahoma,2015,5
OK,Oklahoma,2016,1
OK,Oklahoma,2017,1
OK,Oklahoma,2018,5
OK,Oklahoma,2019,4
OK,Oklahoma,2020,2
OK,Oklahoma,2021,2
OK,Oklahoma,2022,8
OR,Oregon,2014,2
OR,Oregon,2015,2
OR,Oregon,2016,2
OR,Oregon,2017,0
OR,Oregon,2018,0
OR,Oregon,2019,1
OR,Oregon,2020,2
OR,Oregon,2021,7
OR,Oregon,2022,6
PA,Pennsylvania,2014,10
PA,Pennsylvania,2015,14
PA,Pennsylvania,2016,10
PA,Pennsylvania,2017,16
PA,Pennsylvania,2018,19
PA,Pennsylvania,2019,19
PA,Pennsylvania,2020,34
PA,Pennsylvania,2021,35
PA,Pennsylvania,2022,34
RI,Rhode Island,2014,1
RI,Rhode Island,2015,1
RI,Rhode Island,2016,0
RI,Rhode Island,2017,0
RI,Rhode Island,2018,0
RI,Rhode Island,2019,0
RI,Rhode Island,2020,0
RI,Rhode Island,2021,2
RI,Rhode Island,2022,0
SC,South Carolina,2014,7
SC,South Carolina,2015,11
SC,South Carolina,2016,5
SC,South Carolina,2017,7
SC,South Carolina,2018,4
SC,South Carolina,2019,10
SC,South Carolina,2020,22
SC,South Carolina,2021,17
SC,South Carolina,2022,20
SD,South Dakota,2014,1
SD,South Dakota,2015,1
SD,South Dakota,2016,0
SD,South Dakota,2017,0
SD,South Dakota,2018,0
SD,South Dakota,2019,0
SD,South Dakota,2020,1
SD,South Dakota,2021,1
SD,South Dakota,2022,0
TN,Tennessee,2014,13
TN,Tennessee,2015,11
TN,Tennessee,2016,12
TN,Tennessee,2017,14
TN,Tennessee,2018,18
TN,Tennessee,2019,7
TN,Tennessee,2020,19
TN,Tennessee,2021,15
TN,Tennessee,2022,16
TX,Texas,2014,17
TX,Texas,2015,17
TX,Texas,2016,31
TX,Texas,2017,21
TX,Texas,2018,15
TX,Texas,2019,29
TX,Texas,2020,34
TX,Texas,2021,57
TX,Texas,2022,50
UT,Utah,2014,2
UT,Utah,2015,0
UT,Utah,2016,0
UT,Utah,2017,1
UT,Utah,2018,1
UT,Utah,2019,0
UT,Utah,2020,1
UT,Utah,2021,1
UT,Utah,2022,0
VT,Vermont,2014,0
VT,Vermont,2015,1
VT,Vermont,2016,0
VT,Vermont,2017,0
VT,Vermont,2018,0
VT,Vermont,2019,0
VT,Vermont,2020,0
VT,Vermont,2021,0
VT,Vermont,2022,0
VA,Virginia,2014,8
VA,Virginia,2015,5
VA,Virginia,2016,11
VA,Virginia,2017,12
VA,Virginia,2018,4
VA,Virginia,2019,10
VA,Virginia,2020,11
VA,Virginia,2021,16
VA,Virginia,2022,20
WA,Washington,2014,3
WA,Washington,2015,1
WA,Washington,2016,8
WA,Washington,2017,3
WA,Washington,2018,3
WA,Washington,2019,4
WA,Washington,2020,5
WA,Washington,2021,8
WA,Washington,2022,11
WV,West Virginia,2014,0
WV,West Virginia,2015,0
WV,West Virginia,2016,1
WV,West Virginia,2017,0
WV,West Virginia,2018,0
WV,West Virginia,2019,0
WV,West Virginia,2020,3
WV,West Virginia,2021,1
WV,West Virginia,2022,0
WI,Wisconsin,2014,2
WI,Wisconsin,2015,3
WI,Wisconsin,2016,2
WI,Wisconsin,2017,2
WI,Wisconsin,2018,4
WI,Wisconsin,2019,3
WI,Wisconsin,2020,10
WI,Wisconsin,2021,11
WI,Wisconsin,2022,16
WY,Wyoming,2014,0
WY,Wyoming,2015,0
WY,Wyoming,2016,0
WY,Wyoming,2017,0
WY,Wyoming,2018,0
WY,Wyoming,2019,1
WY,Wyoming,2020,0
WY,Wyoming,2021,0
WY,Wyoming,2022,0
