Year,Quarter,State,Population,EM_Rate,Income,GDP
2023,4,Georgia,"11,013,192",3.188888889,58668.11111,600345.3
2023,1,Idaho,"1,962,616",2.633333333,57550.25,85665.7
2023,2,Idaho,"1,962,616",2.633333333,57550.25,85665.7
2023,3,Idaho,"1,962,616",2.966666667,57550.25,85665.7
2023,4,Idaho,"1,962,616",2.744444444,57550.25,85665.7
2023,1,Illinois,"12,602,447",4.466666667,69722.5,800422.8
2023,2,Illinois,"12,602,447",4.1,69722.5,800422.8
2023,3,Illinois,"12,602,447",4.166666667,69722.5,800422.8
2023,4,Illinois,"12,602,447",4.244444444,69722.5,800422.8
2023,1,Indiana,"6,863,394",3.1,59343.91667,353880.1
2023,2,Indiana,"6,863,394",3.1,59343.91667,353880.1
2023,3,Indiana,"6,863,394",3.433333333,59343.91667,353880.1
2023,4,Indiana,"6,863,394",3.211111111,59343.91667,353880.1
2023,1,Iowa,"3,214,774",2.9,60055.72222,178947.6
2023,2,Iowa,"3,214,774",2.7,60055.72222,178947.6
2023,3,Iowa,"3,214,774",2.866666667,60055.72222,178947.6
2023,4,Iowa,"3,214,774",2.822222222,60055.72222,178947.6
2023,1,Kansas,"2,940,838",2.9,61003.97222,167712.7
2023,2,Kansas,"2,940,838",2.866666667,61003.97222,167712.7
2023,3,Kansas,"2,940,838",2.733333333,61003.97222,167712.7
2023,4,Kansas,"2,940,838",2.833333333,61003.97222,167712.7
2023,1,Kentucky,"4,532,552",3.866666667,53115.27778,203791.5
2023,2,Kentucky,"4,532,552",3.766666667,53115.27778,203791.5
2023,3,Kentucky,"4,532,552",4,53115.27778,203791.5
2023,4,Kentucky,"4,532,552",3.877777778,53115.27778,203791.5
2023,1,Louisiana,"4,613,486",3.566666667,55577.94444,219052.8
2023,2,Louisiana,"4,613,486",3.6,55577.94444,219052.8
2023,3,Louisiana,"4,613,486",3.333333333,55577.94444,219052.8
2023,4,Louisiana,"4,613,486",3.5,55577.94444,219052.8
2023,1,Maine,"1,382,693",2.766666667,61941.19444,65473.7
2023,2,Maine,"1,382,693",2.4,61941.19444,65473.7
2023,3,Maine,"1,382,693",2.533333333,61941.19444,65473.7
2023,4,Maine,"1,382,693",2.566666667,61941.19444,65473.7
2023,1,Maryland,"6,200,559",2.866666667,71842.91667,370145.5
2023,2,Maryland,"6,200,559",2.3,71842.91667,370145.5
2023,3,Maryland,"6,200,559",1.7,71842.91667,370145.5
2023,4,Maryland,"6,200,559",2.288888889,71842.91667,370145.5
2023,1,Massachusetts,"7,054,699",3.566666667,87817.38889,551530.9
2023,2,Massachusetts,"7,054,699",2.833333333,87817.38889,551530.9
2023,3,Massachusetts,"7,054,699",2.566666667,87817.38889,551530.9
2023,4,Massachusetts,"7,054,699",2.988888889,87817.38889,551530.9
2023,1,Michigan,"10,085,700",4.233333333,58893.27778,493222.9
2023,2,Michigan,"10,085,700",3.7,58893.27778,493222.9
2023,3,Michigan,"10,085,700",3.733333333,58893.27778,493222.9
2023,4,Michigan,"10,085,700",3.888888889,58893.27778,493222.9
2023,1,Minnesota,"5,780,262",2.9,69757.72222,353719.6
2023,2,Minnesota,"5,780,262",2.866666667,69757.72222,353719.6
2023,3,Minnesota,"5,780,262",3.066666667,69757.72222,353719.6
2023,4,Minnesota,"5,780,262",2.944444444,69757.72222,353719.6
2023,1,Mississippi,"2,940,966",3.7,47498.83333,105117.2
2023,2,Mississippi,"2,940,966",3.233333333,47498.83333,105117.2
2023,3,Mississippi,"2,940,966",3.133333333,47498.83333,105117.2
2023,4,Mississippi,"2,940,966",3.355555556,47498.83333,105117.2
2023,1,Missouri,"6,195,865",2.6,58700.5,303980.6
2023,2,Missouri,"6,195,865",2.533333333,58700.5,303980.6
2023,3,Missouri,"6,195,865",2.8,58700.5,303980.6
2023,4,Missouri,"6,195,865",2.644444444,58700.5,303980.6
2023,1,Montana,"1,125,177",2.4,61513.05556,50661.7
2023,2,Montana,"1,125,177",2.333333333,61513.05556,50661.7
2023,3,Montana,"1,125,177",2.566666667,61513.05556,50661.7
2023,4,Montana,"1,125,177",2.433333333,61513.05556,50661.7
2023,1,Nebraska,"1,985,017",2.3,64122.16667,126412.5
2023,2,Nebraska,"1,985,017",1.933333333,64122.16667,126412.5
2023,3,Nebraska,"1,985,017",2.033333333,64122.16667,126412.5
2023,4,Nebraska,"1,985,017",2.088888889,64122.16667,126412.5
2023,1,Nevada,"3,233,665",5.5,63982.91667,170133.6
2023,2,Nevada,"3,233,665",5.4,63982.91667,170133.6
2023,3,Nevada,"3,233,665",5.366666667,63982.91667,170133.6
2023,4,Nevada,"3,233,665",5.422222222,63982.91667,170133.6
2023,1,New Hampshire,"1,402,926",2.633333333,76355.77778,83715.5
2023,2,New Hampshire,"1,402,926",1.933333333,76355.77778,83715.5
2023,3,New Hampshire,"1,402,926",1.833333333,76355.77778,83715.5
2023,4,New Hampshire,"1,402,926",2.133333333,76355.77778,83715.5
2023,1,New Jersey,"9,282,791",3.466666667,79498.16667,586763.3
2023,2,New Jersey,"9,282,791",3.6,79498.16667,586763.3
2023,3,New Jersey,"9,282,791",4.166666667,79498.16667,586763.3
2023,4,New Jersey,"9,282,791",3.744444444,79498.16667,586763.3
2023,1,New Mexico,"2,121,404",3.533333333,53081.5,96532.5
2023,2,New Mexico,"2,121,404",3.5,53081.5,96532.5
2023,3,New Mexico,"2,121,404",3.666666667,53081.5,96532.5
2023,4,New Mexico,"2,121,404",3.566666667,53081.5,96532.5
2023,1,New York,"19,790,766",4.166666667,78910.55556,1573685.6
2023,2,New York,"19,790,766",3.933333333,78910.55556,1573685.6
2023,3,New York,"19,790,766",3.933333333,78910.55556,1573685.6
2023,4,New York,"19,790,766",4.011111111,78910.55556,1573685.6
2023,1,North Carolina,"10,775,215",3.633333333,59429.75,565241.5
2023,2,North Carolina,"10,775,215",3.366666667,59429.75,565241.5
2023,3,North Carolina,"10,775,215",3.333333333,59429.75,565241.5
2023,4,North Carolina,"10,775,215",3.444444444,59429.75,565241.5
2023,1,Ohio,"11,817,293",3.9,59205.86111,641991.1
2023,2,Ohio,"11,817,293",3.566666667,59205.86111,641991.1
2023,3,Ohio,"11,817,293",3.366666667,59205.86111,641991.1
2023,4,Ohio,"11,817,293",3.611111111,59205.86111,641991.1
2023,1,Oklahoma,"4,019,733",3.033333333,55918.02778,195208.1
2023,2,Oklahoma,"4,019,733",2.8,55918.02778,195208.1
2023,3,Oklahoma,"4,019,733",2.833333333,55918.02778,195208.1
2023,4,Oklahoma,"4,019,733",2.888888889,55918.02778,195208.1
2023,1,Oregon,"4,326,412",4.633333333,64777.08333,240426
2023,2,Oregon,"4,326,412",3.733333333,64777.08333,240426
2023,3,Oregon,"4,326,412",3.433333333,64777.08333,240426
2023,4,Oregon,"4,326,412",3.933333333,64777.08333,240426
2023,1,Pennsylvania,"12,996,692",4.3,66753.11111,736260.9
2023,2,Pennsylvania,"12,996,692",3.966666667,66753.11111,736260.9
2023,3,Pennsylvania,"12,996,692",3.466666667,66753.11111,736260.9
2023,4,Pennsylvania,"12,996,692",3.911111111,66753.11111,736260.9
2023,1,Rhode Island,"1,099,588",3.1,65817.80556,55608
2023,2,Rhode Island,"1,099,588",2.966666667,65817.80556,55608
2023,3,Rhode Island,"1,099,588",2.7,65817.80556,55608
2023,4,Rhode Island,"1,099,588",2.922222222,65817.80556,55608
2023,1,South Carolina,"5,320,128",3.2,55326.94444,228305.7
2023,2,South Carolina,"5,320,128",3.1,55326.94444,228305.7
2023,3,South Carolina,"5,320,128",3,55326.94444,228305.7
2023,4,South Carolina,"5,320,128",3.1,55326.94444,228305.7
2023,1,South Dakota,"911,286",2.033333333,68353.91667,50520.7
2023,2,South Dakota,"911,286",1.866666667,68353.91667,50520.7
2023,3,South Dakota,"911,286",1.9,68353.91667,50520.7
2023,4,South Dakota,"911,286",1.933333333,68353.91667,50520.7
2023,1,Tennessee,"7,097,478",3.466666667,59654.66667,375763.4
2023,2,Tennessee,"7,097,478",3.266666667,59654.66667,375763.4
2023,3,Tennessee,"7,097,478",3.133333333,59654.66667,375763.4
2023,4,Tennessee,"7,097,478",3.288888889,59654.66667,375763.4
2023,1,Texas,"30,365,226",3.966666667,62968.19444,1935410.8
2023,2,Texas,"30,365,226",4.066666667,62968.19444,1935410.8
2023,3,Texas,"30,365,226",4.1,62968.19444,1935410.8
2023,4,Texas,"30,365,226",4.044444444,62968.19444,1935410.8
2023,1,Utah,"3,437,926",2.4,60810.36111,194709
2023,2,Utah,"3,437,926",2.333333333,60810.36111,194709
2023,3,Utah,"3,437,926",2.5,60810.36111,194709
2023,4,Utah,"3,437,926",2.411111111,60810.36111,194709
2023,1,Vermont,"646,697",2.8,64092.38889,31610.9
2023,2,Vermont,"646,697",2.133333333,64092.38889,31610.9
2023,3,Vermont,"646,697",1.833333333,64092.38889,31610.9
2023,4,Vermont,"646,697",2.255555556,64092.38889,31610.9
2023,1,Virginia,"8,737,275",3.2,69815.33333,517363.5
2023,2,Virginia,"8,737,275",2.9,69815.33333,517363.5
2023,3,Virginia,"8,737,275",2.5,69815.33333,517363.5
2023,4,Virginia,"8,737,275",2.866666667,69815.33333,517363.5
2023,1,Washington,"7,948,910",4.566666667,78156.80556,593496.5
2023,2,Washington,"7,948,910",4.066666667,78156.80556,593496.5
2023,3,Washington,"7,948,910",3.6,78156.80556,593496.5
2023,4,Washington,"7,948,910",4.077777778,78156.80556,593496.5
2023,1,West Virginia,"1,761,580",3.666666667,51120.30556,72805.3
2023,2,West Virginia,"1,761,580",3.3,51120.30556,72805.3
2023,3,West Virginia,"1,761,580",3.6,51120.30556,72805.3
2023,4,West Virginia,"1,761,580",3.522222222,51120.30556,72805.3
2023,1,Wisconsin,"5,922,133",2.7,62880.11111,313120.7
2023,2,Wisconsin,"5,922,133",2.433333333,62880.11111,313120.7
2023,3,Wisconsin,"5,922,133",2.866666667,62880.11111,313120.7
2023,4,Wisconsin,"5,922,133",2.666666667,62880.11111,313120.7
2023,1,Wyoming,"576,718",3.8,73140.66667,37005.2
2023,2,Wyoming,"576,718",3.3,73140.66667,37005.2
2023,3,Wyoming,"576,718",2.933333333,73140.66667,37005.2
2023,4,Wyoming,"576,718",3.344444444,73140.66667,37005.2
