State,Year,Quarter,Count,Population
Missouri,2023,1,3,"6,195,865"
Missouri,2023,2,8,"6,195,865"
Missouri,2023,3,2,"6,195,865"
Montana,2023,1,0,"1,125,177"
Montana,2023,2,0,"1,125,177"
Montana,2023,3,0,"1,125,177"
Nebraska,2023,1,0,"1,985,017"
Nebraska,2023,2,0,"1,985,017"
Nebraska,2023,3,0,"1,985,017"
Nevada,2023,1,0,"3,233,665"
Nevada,2023,2,1,"3,233,665"
Nevada,2023,3,0,"3,233,665"
New Hampshire,2023,1,0,"1,402,926"
New Hampshire,2023,2,1,"1,402,926"
New Hampshire,2023,3,0,"1,402,926"
New Jersey,2023,1,3,"9,282,791"
New Jersey,2023,2,6,"9,282,791"
New Jersey,2023,3,2,"9,282,791"
New Mexico,2023,1,0,"2,121,404"
New Mexico,2023,2,2,"2,121,404"
New Mexico,2023,3,0,"2,121,404"
New York,2023,1,5,"19,790,766"
New York,2023,2,3,"19,790,766"
New York,2023,3,7,"19,790,766"
North Carolina,2023,1,8,"10,775,215"
North Carolina,2023,2,10,"10,775,215"
North Carolina,2023,3,7,"10,775,215"
Ohio,2023,1,5,"11,817,293"
Ohio,2023,2,11,"11,817,293"
Ohio,2023,3,8,"11,817,293"
Oklahoma,2023,1,0,"4,019,733"
Oklahoma,2023,2,3,"4,019,733"
Oklahoma,2023,3,4,"4,019,733"
Oregon,2023,1,1,"4,326,412"
Oregon,2023,2,1,"4,326,412"
Oregon,2023,3,0,"4,326,412"
Pennsylvania,2023,1,7,"12,996,692"
Pennsylvania,2023,2,11,"12,996,692"
Pennsylvania,2023,3,11,"12,996,692"
Rhode Island,2023,1,0,"1,099,588"
Rhode Island,2023,2,0,"1,099,588"
Rhode Island,2023,3,0,"1,099,588"
South Carolina,2023,1,3,"5,320,128"
South Carolina,2023,2,5,"5,320,128"
South Carolina,2023,3,4,"5,320,128"
South Dakota,2023,1,0,"911,286"
South Dakota,2023,2,0,"911,286"
South Dakota,2023,3,0,"911,286"
Tennessee,2023,1,8,"7,097,478"
Tennessee,2023,2,5,"7,097,478"
Tennessee,2023,3,5,"7,097,478"
Texas,2023,1,13,"30,365,226"
Texas,2023,2,16,"30,365,226"
Texas,2023,3,22,"30,365,226"
Utah,2023,1,1,"3,437,926"
Utah,2023,2,0,"3,437,926"
Utah,2023,3,1,"3,437,926"
Vermont,2023,1,0,"646,697"
Vermont,2023,2,0,"646,697"
Vermont,2023,3,0,"646,697"
Virginia,2023,1,1,"8,737,275"
Virginia,2023,2,3,"8,737,275"
Virginia,2023,3,2,"8,737,275"
Washington,2023,1,1,"7,948,910"
Washington,2023,2,4,"7,948,910"
Washington,2023,3,5,"7,948,910"
West Virginia,2023,1,0,"1,761,580"
West Virginia,2023,2,0,"1,761,580"
West Virginia,2023,3,0,"1,761,580"
Wisconsin,2023,1,2,"5,922,133"
Wisconsin,2023,2,4,"5,922,133"
Wisconsin,2023,3,2,"5,922,133"
Wyoming,2023,1,0,"576,718"
Wyoming,2023,2,0,"576,718"
Wyoming,2023,3,0,"576,718"
